"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 16 22:31:25 ICT 2022","Sun Jan 16 22:31:25 ICT 2022","1","Regression","test1","appium_related.lab19.TestRunParallel","appium_related.lab19.TestRunParallel","afterMethod","afterMethod",""
"failed","Sun Jan 16 22:31:25 ICT 2022","Sun Jan 16 22:31:25 ICT 2022","19","Regression","test1","appium_related.lab19.TestRunParallel","appium_related.lab19.TestRunParallel","test1","test1",""
